# epoch,acc,val_acc,loss_train,val_loss
0.00,52.84,40.62,79946299293536.52,150410.77
1.00,49.05,40.62,353919.24,60053.51
2.00,48.10,40.62,1088904.21,202764.11
3.00,50.47,59.38,548149.46,0.00
4.00,44.68,40.62,277798.82,34801.83
5.00,51.46,59.38,14310161.04,0.00
6.00,52.13,59.38,2932174.80,0.00
7.00,52.37,40.62,46150.64,27523.18
8.00,46.21,59.38,4809.10,0.00
9.00,55.21,40.62,8.73,1.12
10.00,44.68,59.38,5.69,0.06
11.00,51.90,59.38,6.06,0.16
12.00,53.79,40.62,5.61,1.23
13.00,50.47,59.38,5.50,0.67
14.00,51.42,59.38,4.58,0.24
15.00,50.73,59.38,4.75,0.44
16.00,49.31,40.62,4.84,0.72
17.00,52.37,40.62,4.72,0.70
18.00,51.18,40.62,4.92,0.92
19.00,50.95,40.62,4.75,1.17
20.00,48.06,40.62,4.80,1.06
21.00,51.62,40.62,4.57,0.83
22.00,49.05,40.62,4.54,0.91
23.00,46.84,59.38,4.90,0.38
24.00,49.07,59.38,4.76,0.35
25.00,54.27,40.62,5.12,1.10
26.00,44.31,40.62,5.12,0.85
27.00,48.10,40.62,5.09,1.33
28.00,48.82,40.62,4.94,2.04
29.00,46.21,40.62,5.61,1.32
30.00,46.68,59.38,4.75,0.57
31.00,51.42,59.38,4.59,0.40
32.00,50.00,40.62,4.68,1.73
33.00,50.24,40.62,5.49,1.26
34.00,51.66,59.38,4.67,0.42
35.00,49.05,59.38,4.99,0.62
36.00,52.84,40.62,4.56,0.91
37.00,46.45,59.38,4.89,0.57
38.00,50.47,40.62,4.90,1.85
39.00,51.18,40.62,4.78,0.85
40.00,49.07,59.38,4.98,0.39
41.00,51.66,40.62,4.88,0.92
42.00,54.98,59.38,4.69,0.26
43.00,53.32,40.62,5.36,1.72
44.00,53.32,40.62,4.90,0.82
45.00,51.18,40.62,4.72,0.82
46.00,51.90,59.38,5.17,0.56
47.00,47.63,40.62,4.98,0.77
48.00,52.18,59.38,4.94,0.42
49.00,46.53,40.62,5.09,0.90
50.00,47.63,40.62,5.11,0.89
51.00,48.58,40.62,4.63,0.91
