# epoch,acc,val_acc,loss_train,val_loss
0.00,72.97,69.38,65328.80,98251.14
1.00,74.04,73.47,54352.13,102060.27
2.00,73.77,76.19,44025.36,68457.89
3.00,75.68,76.87,40764.90,11795.29
4.00,76.00,74.83,30933.96,0.00
5.00,76.45,70.75,23348.64,0.00
6.00,78.77,70.75,14978.55,0.00
7.00,77.79,71.43,14594.43,0.00
8.00,80.64,71.43,7159.55,4369.13
9.00,74.75,66.67,5545.08,900.17
10.00,77.79,64.63,4115.17,5157.66
11.00,75.65,68.75,4030.21,5068.98
12.00,76.72,71.43,3942.97,7888.76
13.00,78.06,70.07,3894.16,4802.53
14.00,78.23,73.47,3070.04,1060.67
15.00,75.02,68.03,4046.62,515.52
16.00,78.06,60.54,3328.65,760.57
17.00,76.18,68.71,3579.20,336.73
18.00,77.55,65.31,3309.09,936.12
19.00,76.90,65.31,3295.61,2356.20
20.00,78.32,69.39,3252.07,789.93
21.00,76.85,68.03,3186.46,3583.23
22.00,77.61,63.75,3168.17,8318.25
23.00,77.73,72.79,3087.25,7021.97
24.00,77.22,72.79,2893.27,3578.13
25.00,77.70,71.43,2956.37,720.03
26.00,77.16,68.03,3228.08,1105.59
27.00,78.23,69.39,2530.24,225.79
28.00,77.02,65.99,2937.41,567.43
29.00,77.52,70.07,2804.93,306.26
30.00,79.75,70.75,2403.56,2704.36
31.00,77.40,72.11,2888.08,925.81
32.00,77.02,68.03,2683.13,3091.57
33.00,78.30,69.38,2584.89,5102.74
34.00,80.55,76.19,2311.62,4277.58
35.00,76.00,76.19,2569.29,1756.50
36.00,79.75,75.51,2254.32,371.18
37.00,75.91,67.35,2450.55,830.74
38.00,78.23,63.95,2414.37,515.27
39.00,77.94,68.03,2470.51,259.74
40.00,79.48,68.71,2199.05,300.89
41.00,79.40,67.35,2286.73,1776.04
42.00,75.29,68.71,2356.63,319.70
43.00,75.29,69.39,2218.36,2196.67
44.00,77.07,70.00,2311.72,4288.66
45.00,79.02,73.47,2317.47,5035.41
46.00,80.46,74.15,1836.36,2637.80
47.00,77.12,73.47,2108.72,476.78
48.00,77.99,67.35,2071.93,669.91
49.00,77.94,66.67,1953.13,357.03
50.00,77.46,69.39,2054.41,126.98
51.00,79.02,67.35,2007.96,286.38
