# epoch,acc,val_acc,loss_train,val_loss
0.00,66.72,63.13,1.47,0.74
1.00,69.88,60.38,1.35,1.01
2.00,71.87,61.64,1.27,0.64
3.00,71.87,60.38,1.25,0.76
4.00,73.78,63.52,1.21,0.23
5.00,74.61,63.52,1.15,0.38
6.00,74.27,61.64,1.18,0.59
7.00,73.78,64.15,1.16,0.51
8.00,76.68,62.26,1.12,1.02
9.00,75.60,68.55,1.10,0.60
10.00,76.18,66.67,1.11,0.96
11.00,76.93,68.12,1.07,0.43
12.00,78.51,61.64,1.03,0.90
13.00,79.50,64.78,1.03,0.62
14.00,77.10,66.04,1.05,0.73
15.00,76.93,62.89,1.05,0.27
16.00,78.67,65.41,1.02,0.38
17.00,79.00,66.04,1.00,0.45
18.00,82.32,67.92,0.90,0.48
19.00,78.09,63.52,1.03,1.14
20.00,81.33,68.55,0.94,0.57
21.00,81.24,66.04,0.97,0.97
22.00,80.25,67.50,0.91,0.39
23.00,81.33,64.15,0.97,0.77
24.00,80.66,74.21,0.91,0.39
25.00,81.00,66.04,0.95,0.69
26.00,83.90,69.81,0.86,0.17
27.00,82.40,64.15,0.86,0.40
28.00,82.16,67.30,0.90,0.46
29.00,81.41,68.55,0.92,0.46
30.00,82.57,68.55,0.87,1.33
31.00,84.65,68.55,0.86,0.49
32.00,81.24,65.41,0.89,1.04
33.00,84.21,68.75,0.84,0.42
34.00,83.15,69.18,0.82,0.66
35.00,84.90,67.30,0.82,0.65
36.00,83.17,66.04,0.86,0.86
37.00,85.03,67.92,0.80,0.19
38.00,84.15,64.15,0.81,0.42
39.00,83.24,65.41,0.83,0.56
40.00,85.68,69.81,0.78,0.47
41.00,84.90,66.04,0.81,1.11
42.00,85.89,74.84,0.76,0.65
43.00,85.31,71.07,0.79,0.85
44.00,83.73,70.00,0.81,0.41
45.00,87.50,66.04,0.76,0.74
46.00,85.85,71.07,0.74,0.48
47.00,85.12,71.07,0.78,0.60
48.00,85.81,68.55,0.80,0.20
49.00,87.55,65.41,0.72,0.41
50.00,86.93,66.67,0.74,0.56
51.00,85.89,68.55,0.72,0.48
