# epoch,acc,val_acc,loss_train,val_loss
0.00,79.62,66.15,4.77,0.10
1.00,80.22,64.97,3.61,3.03
2.00,80.90,77.71,3.74,2.83
3.00,79.44,81.53,3.95,0.06
4.00,79.78,64.06,3.70,0.11
5.00,80.62,68.79,3.80,4.89
6.00,81.36,71.97,3.58,3.38
7.00,78.96,85.35,3.85,0.20
8.00,80.64,60.94,3.56,0.10
9.00,80.31,57.96,3.56,1.43
10.00,81.45,78.98,3.50,4.33
11.00,81.41,81.53,3.54,0.05
12.00,80.85,63.02,3.53,0.11
13.00,80.72,63.06,3.61,1.02
14.00,81.46,75.80,3.58,1.97
15.00,81.13,81.53,3.62,0.08
16.00,81.31,70.31,3.43,0.12
17.00,80.12,54.78,3.78,2.51
18.00,80.92,73.25,3.60,2.87
19.00,81.00,77.07,3.68,0.05
20.00,79.80,65.62,3.76,0.16
21.00,80.74,64.97,3.63,0.98
22.00,81.25,73.89,3.53,5.05
23.00,81.08,80.89,3.65,0.06
24.00,82.07,65.62,3.39,0.12
25.00,81.60,55.41,3.54,1.17
26.00,81.93,77.07,3.48,2.36
27.00,81.83,80.89,3.44,0.09
28.00,82.12,72.92,3.46,0.15
29.00,82.01,65.61,3.61,2.83
30.00,82.35,76.43,3.46,5.52
31.00,78.19,80.89,3.86,0.13
32.00,81.92,65.62,3.46,0.11
33.00,82.02,59.24,3.34,2.07
34.00,80.90,77.71,3.52,1.82
35.00,80.12,82.17,3.77,0.06
36.00,79.69,69.27,3.55,0.15
37.00,80.92,58.60,3.60,1.42
38.00,82.10,75.80,3.33,3.06
39.00,82.20,84.71,3.42,0.14
40.00,81.48,59.38,3.59,0.08
41.00,81.23,65.61,4.00,16.44
42.00,80.92,76.43,3.78,6.64
43.00,81.13,80.89,3.58,0.08
44.00,80.85,68.75,3.70,0.14
45.00,81.75,59.24,3.50,1.50
46.00,82.10,75.80,3.57,2.29
47.00,80.46,81.53,3.58,0.06
48.00,82.27,68.23,3.42,0.16
49.00,81.36,54.78,3.57,1.69
50.00,82.06,75.16,3.49,2.63
51.00,82.47,80.89,3.37,0.05
52.00,80.97,65.62,3.50,0.14
53.00,81.82,59.87,3.34,1.34
54.00,82.11,75.80,3.50,2.79
55.00,82.52,79.62,3.46,0.04
56.00,82.23,65.10,3.42,0.13
57.00,81.96,60.51,3.43,1.42
58.00,81.93,75.16,3.41,2.02
59.00,81.93,80.89,3.48,0.06
60.00,82.31,68.75,3.44,0.18
61.00,81.74,61.15,3.48,1.63
62.00,81.99,75.80,3.40,3.60
63.00,82.53,81.53,3.45,0.07
64.00,82.07,65.62,3.45,0.12
65.00,82.27,60.51,3.42,1.37
66.00,82.25,75.80,3.42,2.36
67.00,82.56,80.89,3.41,0.05
