# epoch,acc,val_acc,loss_train,val_loss
0.00,91.75,89.19,0.33,0.01
1.00,92.69,88.13,0.30,0.01
2.00,93.47,87.71,0.29,0.05
3.00,93.82,87.57,0.28,0.00
4.00,94.08,87.29,0.27,0.01
5.00,94.51,87.15,0.27,0.00
6.00,94.19,87.15,0.27,0.00
7.00,94.74,87.01,0.26,0.02
8.00,94.51,87.15,0.25,0.00
9.00,95.19,87.01,0.24,0.00
10.00,94.83,87.01,0.25,6.42
11.00,94.84,92.46,0.24,8.74
12.00,95.22,94.27,0.23,0.00
13.00,95.13,87.89,0.24,0.00
14.00,94.87,87.01,0.25,0.00
15.00,95.03,87.01,0.24,0.03
16.00,95.13,87.29,0.23,0.00
17.00,95.42,87.15,0.22,0.00
18.00,95.70,87.15,0.23,0.00
19.00,95.28,87.15,0.24,0.00
20.00,95.41,87.15,0.24,0.01
21.00,95.61,87.15,0.23,0.00
22.00,95.74,87.15,0.21,0.00
23.00,95.40,87.15,0.23,7.16
24.00,95.49,92.60,0.23,9.63
25.00,95.93,94.41,0.21,0.00
26.00,95.57,88.02,0.23,0.00
27.00,95.65,87.15,0.22,0.00
28.00,95.90,87.15,0.22,0.03
29.00,95.20,87.29,0.24,0.00
30.00,95.80,87.15,0.22,0.00
31.00,95.66,87.15,0.22,0.00
32.00,95.83,87.01,0.21,0.00
33.00,95.80,86.87,0.21,0.01
34.00,95.88,86.87,0.22,0.00
35.00,95.96,86.87,0.22,0.00
36.00,95.77,86.73,0.20,7.58
37.00,95.89,92.60,0.23,10.00
38.00,96.01,94.13,0.21,0.00
39.00,96.04,87.63,0.20,0.00
40.00,95.90,86.73,0.21,0.00
41.00,95.73,86.73,0.21,0.03
42.00,95.93,86.87,0.23,0.00
43.00,95.93,86.87,0.21,0.00
44.00,95.90,86.73,0.21,0.00
45.00,96.37,86.73,0.19,0.00
46.00,95.81,86.73,0.20,0.01
47.00,95.76,86.73,0.21,0.00
48.00,96.26,86.73,0.20,0.00
49.00,95.77,86.73,0.21,7.67
50.00,96.62,92.46,0.19,10.35
51.00,96.03,94.13,0.20,0.00
52.00,95.97,87.63,0.20,0.00
53.00,96.20,86.73,0.20,0.00
54.00,96.14,86.73,0.21,0.03
55.00,95.96,86.87,0.20,0.00
56.00,96.23,86.73,0.19,0.00
57.00,95.98,86.73,0.20,0.00
58.00,96.19,86.73,0.20,0.00
59.00,96.32,86.73,0.19,0.01
60.00,96.19,86.59,0.19,0.00
61.00,96.29,86.73,0.20,0.00
62.00,96.20,86.73,0.19,7.52
63.00,96.09,92.32,0.19,10.33
64.00,96.23,94.13,0.19,0.00
65.00,96.29,87.63,0.20,0.00
66.00,96.14,86.59,0.19,0.00
67.00,96.30,86.59,0.19,0.03
