# epoch,acc,val_acc,loss_train,val_loss
0.00,72.95,67.84,2.30,1.27
1.00,73.14,70.71,2.26,0.83
2.00,72.94,68.06,2.30,0.65
3.00,72.88,66.39,2.23,0.73
4.00,72.99,66.67,2.23,0.61
5.00,72.46,66.25,2.20,0.79
6.00,73.30,66.67,2.14,0.73
7.00,72.70,66.81,2.18,0.70
8.00,72.11,66.95,2.22,0.83
9.00,72.30,65.69,2.19,0.73
10.00,72.59,65.83,2.18,0.41
11.00,72.53,63.18,2.10,0.13
12.00,71.93,61.79,2.10,0.63
13.00,72.53,64.84,2.10,1.39
14.00,72.21,67.64,2.07,0.91
15.00,72.49,65.27,2.04,0.72
16.00,72.02,63.46,2.05,0.81
17.00,71.76,63.60,2.06,0.67
18.00,71.75,62.90,2.07,0.86
19.00,72.18,62.90,2.03,0.81
20.00,72.09,63.04,2.02,0.77
21.00,72.13,63.60,2.04,0.91
22.00,71.49,62.62,1.96,0.81
23.00,71.15,62.34,2.09,0.42
24.00,71.65,59.69,1.89,0.11
25.00,70.89,58.16,2.01,0.71
26.00,71.24,61.72,1.91,1.49
27.00,70.89,64.99,1.96,0.99
28.00,71.42,62.48,1.90,0.79
29.00,71.25,61.09,1.92,0.87
30.00,70.41,61.51,1.98,0.73
31.00,71.28,60.39,1.88,0.92
32.00,70.57,60.81,1.91,0.87
33.00,70.90,61.23,1.90,0.82
34.00,71.67,61.65,1.86,0.97
